name,Status[5],area,lower_end,upper_end,number_of_steps,"length","height",Bild,"named_after"
Kriegerstaffel,offiziell,Stuttgart-Nord,Jägerstraße,Kriegerstraße,,,10,,"Personenname Krieger (benannt 1937, nach dem Flurnamen)"
Kronenstaffel,,Stuttgart-Mitte,Kronenstraße ▼,Panoramastraße ▼,,,,,–
Lehenstaffel,,Stuttgart-Süd,Lehenstraße,Pfaffenweg,,,,,
Leipziger Platz,,Stuttgart-West,Leipziger Platz,Rotebühlstraße,,,5,,–
Lerchenstieg,,Stuttgart-Sillenbuch,Am Eichenhain,Hermann-Löns-Weg,,,,,–
Lessingstaffel,,Stuttgart-Nord,,,,,6,,–
Lilienthalstraße,,Stuttgart-West,Hauptmannsreute,Doggenburgstraße,,,34,,–
Liststaffel,offiziell,Stuttgart-Süd,Marienplatz / Filderstraße,Liststraße 62,96,61,18,,"Friedrich List (benannt 1904, deutscher Wirtschaftstheoretiker, Unternehmer, Diplomat und Eisenbahn-Pionier)"
Lorenzstaffel,offiziell,Stuttgart-Mitte,Olgastraße,Nagelstraße,248,158,42,,"Wilhelm Friedrich Lorenz (benannt 1979, Zimmermaler)"
Mannheimer Staffel,offiziell,Stuttgart-Bad Cannstatt,Löwentorstraße,Mannheimer Straße,,,8,,"Mannheim (benannt 1939, Stadt in Baden-Württemberg)"
Maria-Lemmé-Staffel,offiziell,Stuttgart-Degerloch (Hoffeld),Nauenerstraße,Am Wolfsberg,,,23,,"Maria Lemmé (benannt 1987, Malerin)"
Max-Ackermann-Staffel,offiziell,"Stuttgart-Ost
(Frauenkopf)",Filderblickweg,Frauenkopfstraße,,,20,,"Max Ackermann (benannt 2009, deutscher Maler und Grafiker)"
Mönchsbergstaffel,offiziell,Stuttgart-Zuffenhausen,Hohenloher Straße,Bartensteiner Straße,,,7,,"Mönchsberg (benannt 1912, Erhebung in Stuttgart)"
Mohlstaffel,,Stuttgart-Mitte,Hohenheimer Straße,Mohlstraße,,,43,,Gebrüder Mphl
Mühlrainstaffel,,Stuttgart-Süd,Alte Weinsteige,Mühlrain,,,17,,
Nagelstaffel,,Stuttgart-Mitte,Sitzenburgstraße,Nagelstraße,,,,,
Nöllenstraße,,Stuttgart-Botnang,Nöllenstraße,Clare-Waldoff-Weg,,,,,–
Novalisstaffel,offiziell,Stuttgart-West,Klopstockstraße,Zeppelinstraße,,,39,,"Novalis (benannt 1957, deutscher Schriftsteller der Frühromantik, Philosoph und Bergbauingenieur)"
Oberer Reichelenbergweg,,Stuttgart-Mitte,,,,,22,,–
Österfeld Viadukt,,Stuttgart-Vaihingen,Österfeld Viadukt,Gewann Österfeld,,,7,,–
Offenburger Staffel,offiziell,Stuttgart-Bad Cannstatt,Haldenstraße,Züricher Straße,,,20,,"Offenburg (Stadt in der Ortenau, Baden)"
Oscar-Heiler-Staffel,offiziell,Stuttgart-Süd,Mörikestraße,Karlshöhe,271/279,135,48,,"Oscar Heiler (benannt 1996, Volksschauspieler und Humorist)"
Osianderstaffel,,Stuttgart-West,Rotebühlstraße,Hasenbergsteige,,,,,–
Oskar-Schindler-Weg,,Stuttgart-Süd,Olgastraße,Etzelstraße,92,39,15,,Oskar Schindler (Industrieller und Retter von Juden im Dritten Reich)
Otto-Wahl-Staffel,offiziell,Hedelfingen,Rohrackerstraße,Speidelweg,,,,,NS-Widerstandskämpfer und KZ-Überlebender Otto Wahl (benannt 2020)
Pankokweg,,Stuttgart-Mitte (Weißenhofsiedlung),,,,,,,"Bernhard Pankok (deutscher Maler, Graphiker, Architekt und Designer)"
Paul-Löbe-Staffel,offiziell,Stuttgart-Mitte,Schützenstraße,Werastraße,146,95,20,,"Paul Löbe (benannt 2010, deutscher Politiker und letzter demokratischer Reichstagspräsident. Vormals Richard-Schirrmann-Staffel, benannt 2008, jedoch wg. zweifelhaften aktivitäten im 3. Reich wurde der Name aberkannt)"
Pfarrwegle,,Stuttgart-Süd,Hasenstraße,Gäubahnlinie,203,149,49,,–
Räpplenstaffel,,Stuttgart-Nord,Räpplenstraße,Birkenwaldstraße,,,,,
Reichelenbergweg,,Stuttgart-Mitte,,,,,,,–
Robert-Heck-Weg,,Stuttgart-Mitte,,,,,14,,–
Römerstaffel,offiziell,Stuttgart-Bad Cannstatt (Hallschlag),Haldenstraße,Hartensteinstraße,160,63,22,,"Römer (benannt 2013, Volksstamm des Römischen Reich)"
Römerstraße,,Stuttgart-Süd,Römerstraße,Hohenstaufenstraße,,,,,–
Rötestaffel,,Stuttgart-West,Rötestraße,Hasenbergsteige,,,33,,–
Rotebühlstaffel,,Stuttgart-West,Rotebühlstraße,Reinsburgstraße,,,15,,–
Rottannenweg,,Stuttgart-Süd,Wernhaldenstraße,Rottannenweg,,,,,
Sängerstaffel,,Stuttgart-Mitte,Willy-Brandt-Straße,Urbanstraße,201,88,37,,Sänger (Künstler)
Salzmannweg,,Stuttgart-Nord,,,,,5,,–
Schellbergstraße,,Stuttgart-Ost,,,,,,,–
Schickstaffel,offiziell,Stuttgart-Mitte,Olgastraße,Dannecker Platz,,,35,,"Gottlieb Schick (benannt 1908, deutscher Maler des Klassizismus)"
Schimmelhüttenweg,,Stuttgart-Süd,Böheimstraße,Schimmelhüttenweg,,,,,–
Schloßstaffel,,Stuttgart-Mühlhausen,,,,,25,,–
Schoderstraße,,Stuttgart-Nord,Mönchhaldenstraße,Birkenwaldstraße,,,34,,–
Schulstaffel in Rohracker,,Stuttgart-Hedelfingen,,,,,49,,–
Sonnenbergstaffel,,Stuttgart-Mitte,Bethesda-Krankenhaus,Sonnenbergstraße 3,ca. 50,30,10,,–
Sophienstaffel,,Stuttgart-Mitte,,,,,5,,–
Staffelaufgang am Schwabtunnel,,Stuttgart-Süd,Schickhardtstraße,Wannenstraße,,,17,,"Gustav Schwab (Pfarrer, Dichter, Publizist und Herausgeber)"
Staffel am Anweiler Weg,,Stuttgart-Vaihingen,Anweiler Weg,Kaltentaler Abfahrt,6,,,,–
Staffelaufgang am Schwabtunnel,,Stuttgart-West,Schwabstraße,Hasenbergsteige,,,,,–
Staffelaufgang zur Karlshöhe,,Stuttgart-Süd,Hasenbergsteige,Karlshöhe,,,,,–
Staffel am Botnanger Sattel,,Stuttgart-West,Botnanger Straße,Am Kräherwald,,,7,,–
Staffel am Reginusweg,,Stuttgart-Botnang,,,,,24,,–
Staffel am Zuckerberg,,Stuttgart-Cannstatt,,,,,29,,–
Staffel an der Botnanger Steige,,Stuttgart-Nord,,,,,9,,–
Staffel an der Hegelstraße,,Stuttgart-Mitte,,,,,,,–
Staffel bei Rotenberg,,Stuttgart-Untertürkheim,,,,,24,,–
Staffel zu Unteres Bopsersträßle,,Stuttgart-Süd,,,,,,,–
Staffel zum Augustenweg,,Stuttgart-Süd,Neue Weinsteige,Augustenweg,,,,,–
Staffel zum Blauen Weg,,Stuttgart-Süd,Rebenreute,Blauer Weg,,,67,,–
Staffel zum Hummelwiesenweg,,Stuttgart-Möhringen,Waldweg ohne Namen/Nähe Christian-Belser-Straße,Hummelwiesen/Hummelwiesenweg,,,,,–
Staffel zum Kirchweinberg,,Stuttgart-Wangen,Höhbergstraße,Kirchweinberg,100,,,,–
Staffel zum Kriegsbergturm,,Stuttgart-Nord,Pfeifferstraße,,,,,,–
Staffel zum Schnellweg,,Stuttgart-Süd,Böheimstraße,Schnellweg,74,37,,,–
Staffel zum Steingrübenweg,,Stuttgart-Ost,Steingrübenweg,Richard-Wagner-Straße,,,,,
Staffel zum Liasweg,,Stuttgart-Vaihingen,Österfeld Viadukt,Liasweg/Schädleweg,,,,,–
Staffel zur Belchenstraße,,Stuttgart-Süd,,,,,31,,–
Staffel zur Birkenwaldstraße,,Stuttgart-Nord,,,,,5,,–
Staffel zur Böblinger Straße,,Stuttgart-Süd,,,,,18,,–
Staffel zur Claudiusstraße,,Stuttgart-West,,,,,22,,–
Staffel zur Fichtestraße,,Stuttgart-West,Honoldweg,Fichtestraße,,,32,,–
Staffel zur Frühlingshalde,,Stuttgart-Nord,Frühlingshalde,Robert-Mayer-Straße,86,,10,,–
Staffel zur Haldenstraße,,Stuttgart-Bad Cannstatt,,,,,,,–
Staffel zur Hauptmannsreute,,Stuttgart-West,Dürrstraße,Hauptmannsreute,,,20,,–
Staffel zur Haußmannstraße,,Stuttgart-Mitte,,,,,18,,–
Staffel zur Helfferichstraße,,Stuttgart-Nord,,Helfferichstraße,,,,,–
Staffel zur Hermann-Kurz-Straße,,Stuttgart-Nord,,,,,5,,–
Staffel zur Hermann-Lenz-Höhe,,Stuttgart-Nord,Gaucherstraße,Birkenwaldstraße,,,29,,–
Staffel zur Kernenblickstraße,,Stuttgart-Sillenbuch,,,,,23,,–
Staffel zur Müllerstraße,,Stuttgart-Süd,,,,,18,,–
Staffel zur Neuen Weinsteige,,Stuttgart-Süd,,,,,,,–
Staffel zur Nißlestraße,,Stuttgart-Ost,,,,,,,–
Staffel zur Panoramastraße,,Stuttgart-Nord,,,,,32,,–
Staffel zur Reinsburgstraße,,Stuttgart-West,Rotenwaldstraße,Reinsburgstraße,,,,,–
Staffel zur Regerstraße,,Stuttgart-Botnang,,,,,4,,–
Staffel zur Robert-Mayer-Straße,,Stuttgart-Ost,Richard-Wagner-Straße,Robert-Mayer-Straße,110,,20,,–
